;category_name;content;title;url
0;ekonomi;"İran Dışişleri Bakanı Muhammed Cevad Zarif, Tahran yönetiminin başta Rusya, Türkiye ve Çin olmak üzere bir dizi ülkeyle ikili finans anlaşması imzalamak için görüşmeler yaptığını açıkladı. 

";Zarif: Rusya, Türkiye ve Çin'le ikili finans anlaşmaları için görüşmeler yapıyoruz;https://tr.sputniknews.com//ortadogu/201906241039458203-zarif-rusya-turkiye-ve-cinle-ikili-finans-anlasmalari-icin-gorusmeler-yapiyoruz/
1;ekonomi;"CHP Sözcüsü Faik Öztrak, ""Artık seçim bitti. Yapay gündemleri bırakıp ekonomiye dönme zamanı geldi"" açıklaması yaptı. Öztrak, ""Vatandaşların sandıkta verdiği mesaj çerçevesinde demokrasi ve hukuk anlayışı güçlenmeli, gerginlikler azaltılmalı"" dedi.";CHP'li Öztrak: Seçim bitti, ekonomiye dönme zamanı;https://tr.sputniknews.com//ekonomi/201906241039456783-chpli-oztrak-secim-bitti-ekonomiye-donme-zamani/
2;ekonomi;Önemli bir demokrasi sınavının geride bırakıldığını açıklayan TÜSİAD, İstanbul Büyükşehir Belediye Başkanı seçilen CHP'li Ekrem İmamoğlu'nu kutladı, yeni dönemde iş dünyasının da üzerine düşen sorumluluğu yerine getireceğini belirtti.;TÜSİAD: İmamoğlu'nu kutluyoruz;https://tr.sputniknews.com//ekonomi/201906241039454181-tusiad-imamoglunu-kutluyoruz/
3;ekonomi;İş dünyası temsilcileri yeniden İstanbul Büyükşehir Belediye Başkanı seçilen Ekrem İmamoğlu'nu kutlarken, Türkiye'nin asıl gündeminin artık ekonomi olması gerektiğini söylediler.;DEİK, YASED ve TÜGİAD'ın mesajı ortak: Artık ekonomiye odaklanma zamanı ;https://tr.sputniknews.com//ekonomi/201906241039453790-deik-yased-tugiad-ortak-mesaj-ekonomi-ibb-ekrem-ekrem-imamoglu/
4;ekonomi;Rus Türk İşadamları Birliği’nin (RTİB) yayınladığı  ’Rusya Ekonomisi Haziran Ayı’ raporunda, Rusya’da enflasyonun Haziran ayında yüzde 5.1’e gerilediği ve küresel ekonomik büyümedeki gerilemeye rağmen ülke ekonomisinin 2019 yılında yüzde 1 ila 1.5 arası büyüme kaydedeceği değerlendirmesine yer verildi.;RTİB: Rus ekonomisi 2019’da yüzde 1.5’a varan büyüme kaydedecek;https://tr.sputniknews.com//columnists/201906241039453656-rtib-rus-ekonomisi-2019da-yuzde-15a-varan-buyume-kaydedecek/
5;ekonomi;Dolar/TL kuru seçim sonrası haftaya 5.71 seviyelerinde başladı. Borsa açılışını yüzde 2'nin üzerinde primle yaptı.;Dolar düşüşte, borsa yükselişte;https://tr.sputniknews.com//ekonomi/201906241039449725-dolar-dususte-borsa-yukseliste/
6;ekonomi;Türkiye'de tatil yapmalarına izin verilen Rus polisi, aileleriyle yaklaşık 2,5 milyonluk potansiyel oluşturuyor.;'Rus polisi' turizmi canlandıracak;https://tr.sputniknews.com//ekonomi/201906241039449598-rus-polisi-turizmi-canlandiracak/
7;ekonomi;Rusya Federasyonu’nun Ankara Büyükelçisi Aleksey Yerhov, iki ülke arasında 100 milyar dolarlık ‘dengeli ticaret’ hedefi için Türk girişimcileri ülkesinde 12 sektöre yönelik geliştirilen yüzlerce milyar dolarlık ulusal projelerde pozisyon almaya çağırdı.;Türk firmalara Rusya'da milyar dolarlık projelere yatırım çağrısı;https://tr.sputniknews.com//ekonomi/201906241039448934-turk-firmalara-rusyada-milyar-dolarlik-projelere-yatirim-cagrisi/
8;ekonomi;İş dünyası, yenilenen İstanbul seçimlerinin sona ermesiyle 'ekonomik reformlara odaklanılması gerektiğine' ilişkin taleplerini tekrarladı.;TÜSİAD ve TÜRKONFED'den seçim değerlendirmesi;https://tr.sputniknews.com//ekonomi/201906241039446646-tusiad-ve-turkonfedden-secim-degerlendirmesi/
9;ekonomi;Sonucu merakla beklenen İstanbul seçimlerinden sonra dolar/TL 5.80’in altına geriledi. Dolar kuru, saat 08.22 itibarıyla 5.7430 TL, euro ise aynı 6.5381 TL seviyesinde işlem görüyor.;İstanbul'daki seçim sonrası dövizde son durum;https://tr.sputniknews.com//ekonomi/201906241039446516-istanbuldaki-secim-sonrasi-dovizde-son-durum/
