;category_name;content;title;url
0;rusya;"Dışişleri Bakanı Mevlüt Çavuşoğlu’nun ""Hangi yaptırım kararı olursa olsun, biz S-400'ü aldık"" sözlerini değerlendiren savunma politikası analisti Turan Oğuz “S-400’lerde kararlılık gösteren Türkiye, artık olası yaptırımlara karşılık vereceğini, çok yüksek tondan olmasa da, ifade etmeye başladı” dedi.";‘S-400’lerde kararlı Türkiye artık ABD’nin yaptırımlarına karşılık verilmesi ihtimalini de masaya koydu’;https://tr.sputniknews.com//columnists/201906241039457073-s-400lerde-kararli-turkiye-artik-abdnin-yaptirimlarina-karsilik-verilmesi-ihtimalini-de-masaya/
1;rusya;Rusya İnsan Sağlığı ve Tüketiciyi Koruma Kurumu (Rospotrebnadzor) Gürcistan’dan şarap ve diğer alkollü içeceklerin Rusya’ya sevkiyatına yönelik kontrollerin artırıldığını bildirdi.;Rusya, Gürcü şaraplarının ithalatına yönelik kontrolleri artırdı;https://tr.sputniknews.com//rusya/201906241039456761-rusya-gurcu-saraplarinin-ithalatina-yonelik-kontrolleri-arttirdi/
2;rusya;Kremlin Sözcüsü Dmitriy Peskov, Rusya'nın ABD'nin İran'a yönelik yeni yaptırımlarını önceden olduğu gibi 'hukuka aykırı' bulduğunu söyledi. Dışişleri Bakan Yardımcısı Ryabkov da, Rusya ve partnerlerinin yaptırımlara karşı koyacağının altını çizdi.;Peskov: ABD'nin İran'a uygulayacağı yaptırımlar hukuka aykırı;https://tr.sputniknews.com//rusya/201906241039454257-peskov-abdnin-irana-uygulayacagi-yaptirimlar-hukuka-aykiri/
3;rusya;Rusya Dışişleri Bakan Yardımcısı Sergey Ryabkov, ABD'nin Rusya sınırları yakınına füzeler konuşlandırması halinde, bölgede gerilimin tırmanacağını ve Küba Füze Krizi'ne benzer bir kriz yaşanacağını belirtti.;Ryabkov: ABD'nin Rusya sınırı yakınına füze konuşlandırması, Küba Füze Krizi'nin bir benzerine yol açar;https://tr.sputniknews.com//savunma/201906241039454236-ryabkov-abdnin-rusya-siniri-yakinina-fuze-konuslandirmasi-kuba-fuze-krizinin-bir-benzerine-yol-acar/
4;rusya;Rus Türk İşadamları Birliği’nin (RTİB) yayınladığı  ’Rusya Ekonomisi Haziran Ayı’ raporunda, Rusya’da enflasyonun Haziran ayında yüzde 5.1’e gerilediği ve küresel ekonomik büyümedeki gerilemeye rağmen ülke ekonomisinin 2019 yılında yüzde 1 ila 1.5 arası büyüme kaydedeceği değerlendirmesine yer verildi.;RTİB: Rus ekonomisi 2019’da yüzde 1.5’a varan büyüme kaydedecek;https://tr.sputniknews.com//columnists/201906241039453656-rtib-rus-ekonomisi-2019da-yuzde-15a-varan-buyume-kaydedecek/
5;rusya;Rusya Federasyonu’nun Ankara Büyükelçisi Aleksey Yerhov, iki ülke arasında 100 milyar dolarlık ‘dengeli ticaret’ hedefi için Türk girişimcileri ülkesinde 12 sektöre yönelik geliştirilen yüzlerce milyar dolarlık ulusal projelerde pozisyon almaya çağırdı.;Türk firmalara Rusya'da milyar dolarlık projelere yatırım çağrısı;https://tr.sputniknews.com//ekonomi/201906241039448934-turk-firmalara-rusyada-milyar-dolarlik-projelere-yatirim-cagrisi/
6;rusya;Rusya Helikopterleri Genel Müdürü Boginskiy, 2 adet yeni Mi-28NM Gece Avcısı helikopterinin Rus Hava-Uzay Kuvvetleri’ne teslim edildiğini açıkladı.;Yeni Mi-28NM helikopterleri Rus Hava-Uzay Kuvvetleri’nin hizmetinde;https://tr.sputniknews.com//savunma/201906241039446500-yeni-mi-28nm-helikopterleri-rus-hava-uzay-kuvvetlerinin-hizmetinde/
7;rusya;Kırım kıyılarında ve Donbass bölgesinin hava sahasında keşif uçuşu gerçekleştiren iki Amerikan uçağının tespit edildiği bildirildi.;Kırım yakınlarında 2 Amerikan askeri uçağı görüldü;https://tr.sputniknews.com//savunma/201906241039445568-kirim-yakinlarinda-2-amerikan-askeri-ucagi-goruldu/
8;rusya;Washington merkezli askeri analiz dergisi National Interest (NI), Hindistan’da yapılan hipersonik füze denemelerinin bu ülkeyi Pakistan ile nükleer savaşa bir adım daha yaklaştırdığını yazdı.;National Interest, nükleer savaş riski konusunda uyardı;https://tr.sputniknews.com//analiz/201906231039439487-national-interest-nukleer-savas-riski-konusunda-uyardi/
9;rusya;ABD Başkanı Donald Trump’ın Ulusal Güvenlik Danışmanı John Bolton, Trump’ın Japonya’nın Osaka kentinde yapılacak G20 zirvesi kapsamında Rusya Devlet Başkanı Vladimir Putin ile bir araya gelmeyi sabırsızlıkla beklediğini söyledi.;Bolton: Trump, G20'de Putin ile görüşmek için sabırsızlanıyor;https://tr.sputniknews.com//abd/201906231039438731-bolton-trump-g20de-putin-ile-gorusmek-icin-sabirsizlaniyor/
