category_name;content;title;url
cevre;yıl rekor sayı dağcı ağırlaya dünya yük zirves everest bir rekor çöp konu kırıl i̇ki aylık tırmanış sezon ardı dağcı arka 13 ton atık bırak;yıl rekor sayı dağcı ağırlaya everest çöplük hal gel dağcı arka 13 ton çöp topla;https://tr.sputniknews.com//cevre/201906241039457682-bu-yil-rekor-sayida-dagci-agirlayan-everest-copluk-haline-geldi-dagcilarin-arkasindan-13-ton-cop/
afrika;birleş millet bm genel sekreter antonio guterres etiyopya amhar eyalet yerel hüküme karşı yapıla darbe giriş esna yönetiç yaşam kaybetme kınadı;bmden etiyopya yerel hüküme yönelik darbe girişim kına;https://tr.sputniknews.com//afrika/201906241039446988-bmden-etiyopyada-yerel-hukumete-yonelik-darbe-girisimine-kinama/
spor;trabzonspor kulüp başka ahmet ağaoğlu monaco abdülkadir ömür yaptık transfer teklif sonra fransız kulüp yetkili ba teklif getirdik zama ben siz 25 milyo euro nakit ver ba bir tane abdülkadir ömür getir dedi var getir birbir bakıyor yok yanıt verdik söyledi;trabzonspor başka ağaoğlu 25 milyo euro nakit ver ba bir abdülkadir getir;https://tr.sputniknews.com//spor/201906241039456508-trabzonspor-baskani-agaoglu-25-milyon-euro-nakit-vereyim-bana-bir-abdulkadir-getirin/
turkiye;dsp genel başka önder aksakal i̇stanbul büyükşehir beledi başkanlık seçim kazana chpli ekre i̇mamoğl tebrik et;sandık gitmeye dsp lider aksakal i̇mamoğlu mesaj;https://tr.sputniknews.com//politika/201906241039458242-sandiga-gitmeyen-dsp-lideri-aksakaldan-imamoglu-mesaji/
dogu_akdeniz;kıbrıs 2si çocuk 7 kişi öldüre ser cinayet zanlıs rum milli muhaf ordus rmmo suba nikos metaksas 7 ağırlaştırıl müebbet hapis ceza mahk ol metaksas çıkarıldık rum ağır ceza mahkeme 7 kişi öldürdük kabul et i̇ğrenç suç işledi özür diliyor dedi;ser katil metaksas özür diledi i̇ğrenç suç işledi;https://tr.sputniknews.com//dogu_akdeniz/201906241039456526-rum-seri-katil-igrenc-suclar-isledim-ozur-diliyorum/
kultur;42 yıl evli olduk eş öl anlaşmas yaptık anla rock yıldız aliç cooper eş ö ölmes hal ke yaşam son verecek söyledi;aliç cooper öl anlaşma açıkladı;https://tr.sputniknews.com//kultur/201906231039437401-alice-cooper-olum-anlasmasini-acikladi-/
bilim;abd uzay havacılık dairesi’ne nas ait curiosity uzay araç mars’ yüzey yük seviye meta varlık tespit ettik buluş kızıl gezegen’ yaşa dair bir sinyal olabilecek duyurul;nas mars yaşa olabilecek göstere belirti rastladı;https://tr.sputniknews.com//bilim/201906231039442101-nasa-marsta-yasam-olabilecegini-gosteren-belirtilere-rastladi/
cevre;diyarbakır’ bismil ilçes kırsal nesli tükenme nokta ola fırat kaplumbağas bul kaplumbak doğal yaşa ala ola diç nehr ger bırakıl;diyarbakır nesli tükenmek üzer ola fırat kaplumbağas bul;https://tr.sputniknews.com//cevre/201906211039428780-diyarbakirda-nesli-tukenmek-uzere-olan-firat-kaplumbagasi-bulundu/
ekonomi;i̇ra dışiş baka muhammedi cevadı zarif tahra yönetim baş rusya türki çin olmak üzer bir diz ülke ikil finans anlaşmas imzalamak görüşme yaptık açıkladı;zarif rusya türki ç ikil finans anlaşma görüşme yapıyor;https://tr.sputniknews.com//ortadogu/201906241039458203-zarif-rusya-turkiye-ve-cinle-ikili-finans-anlasmalari-icin-gorusmeler-yapiyoruz/
abd;abdn ankar büyükelçilik avrupa büyük şehr yönetecek ola ekre i̇mamoğl i dilek sunar ifade kullanarak tebrik mesaj bul;abd büyükelçilik i̇mamoğl tebrik;https://tr.sputniknews.com//turkiye/201906241039457922-abd-buyukelciliginden-imamogluna-tebrik/
avrupa;almanya yük okul asker araştırma yapma ilke rağme pentago araştırma yürütmek milyon do kabul ettik orta çık k zama eyalet şiddet karşıt yasa çiğneye çalışma kapsam patlayıcı denizal var;almanya barış yeminli üniversite asker proje geliştirmek pentago son 10 yıl milyon do al;https://tr.sputniknews.com//avrupa/201906241039457117-almanyada-barisa-yeminli-universiteler-askeri-proje-gelistirmek-icin-pentagondan-son-10-yilda/
rusya;dışiş baka mevlüt çavuşoğlu’n hangi yaptır karar olur ol s-400ü al söz değerlendire savunma politikas analis tura ok “s-400’ler kararlılık göstere türki ar olas yaptırım karşılık verecek yük to olmas ifa etme başladı” dedi;‘s-400’ler kararlı türki ar abd’n yaptırım karşılık verilmes ihtimal masa koydu’;https://tr.sputniknews.com//columnists/201906241039457073-s-400lerde-kararli-turkiye-artik-abdnin-yaptirimlarina-karsilik-verilmesi-ihtimalini-de-masaya/
guney_amerika;ulusal güvenlik danışman on kal bir sefer dünya vuruşur söz e abd başka kendi barış kor sicil endişe mahal bırakmadık sav;trump bolto kal bir kere dünya savaşıyor olur;https://tr.sputniknews.com//abd/201906241039453715-trump-boltona-kalsa-bir-kerede-tum-dunyayla-savasiyor-olurduk-/
afrika;etiyopya dün amhar eyalet yerel hüküme karşı yapıla darbe giriş sıra genelkurmay başka sear mekonne amhar eyalet başka ambachew mekonne öldürüldük açıkla;etiyopya yerel hüküme darbe giriş genelkurmay başka ev koruma taraf öldürül;https://tr.sputniknews.com//afrika/201906231039437520-etiyopyada-yerel-hukumete-darbe-girisimi-genelkurmay-baskani-evinde-korumalari-tarafindan-olduruldu/
dogu_akdeniz;yunanis başbaka aleksis çipras türkiye’ye meis adas açık sondaj faaliyet karşı uyar ‘p akl bil geçirmemes gerektiğini’ söyledi;yunanis başbaka çipras türkiye sondaj akl bil geçirme uyarıs;https://tr.sputniknews.com//dogu_akdeniz/201906241039448852-yunanistan-basbakani-ciprastan-turkiyeye-sondaji-aklindan-bile-gecirme-uyarisi/
spor;fra birinci futbol ligi ligue 1 ekip paris saint-germai psg brezilyal oyuncus dani alves tak ayrılacak açıkladı;dani alves psgden ayrılıyor;https://tr.sputniknews.com//spor/201906241039447194-dani-alves-psgden-ayriliyor/
asya;endonezya maluk eyalet 7 7 büyüklük depre meyda gel;endonezya 7 7 büyüklük depre;https://tr.sputniknews.com//asya/201906241039447815-endonezyada-77-buyuklugunde-deprem/
kultur;moskova yunus emre türk kül merkez yıldız sara koleksiyon çarlık rusyas fotoğraf gösterildik bir sergi açıl;yıldız sara koleksiyon çarlık rusyas fotoğraf moskova sergileniyor;https://tr.sputniknews.com//kultur/201906221039430244-yildiz-sarayi-koleksiyonundaki-carlik-rusyasi-fotograflari-moskovada-sergileniyor/
bilim;rusya dijital geliş haberleşme kit i̇letiş baka yardımcıs mihail mamonov google’ lisans iptal ettik androidi işlet sistem ika etmek isteye çinli teknoloj dev huawei’ yaz bakanlık cep telefon rusya taraf geliştirile auror işlet sistem kullanılmas konu görüşme başlayacak söyledi;huawei auror işlet siste rusya görüşme başlıyor;https://tr.sputniknews.com//bilim/201906211039426498-huawei-aurora-isletim-sistemi-icin-rusya-ile-gorusmelere-basliyor/
cevre;rusya’n nahodka kent tutula orka beyaz balina tutulduk insanlıkdış koşul kurtarılma yönelik çağrı ardı balina yaklaşık dört ay iç yakalandık yer ger bırakılacak belirtil rus basın gör ik bal halihazır serbest bırakıl;rusya köt koşul tutula balina serbest bırakma başladı;https://tr.sputniknews.com//cevre/201906201039421071-rusya-kotu-kosullarda-tutulan-balinalari-serbest-birakmaya-basladi/
politika;ürkiye nato daim temsilcis büyükelçi basat öztürk s-400 bir nato sor değil ikil bir sorundur” dedi öztürk abdn p nato kapsam genişletme i̇ttifak uyum bozulma ha olacak sav;türkiye nato daim temsilcis büyükelçi öztürk s-400 bir nato sor değil ikil bir sor;https://tr.sputniknews.com//politika/201906241039455758-turkiyenin-nato-daimi-temsilcisi-buyukelci-ozturk-s-400-bir-nato-sorunu-degil-ikili-bir-sorun/
avrupa;rusya i̇nsa sağlık tüketici kor kur rospotrebnadzor gürcistan’ şarap diğer alkollü içecek rusya’ya sevkiyat yönelik kontroller artırıldık bildir;rusya gürcü şarap ithalat yönelik kontrol artır;https://tr.sputniknews.com//rusya/201906241039456761-rusya-gurcu-saraplarinin-ithalatina-yonelik-kontrolleri-arttirdi/
guney_amerika;wikileak kurucus julian assangeın bilgisayar programcıs ola 2 ay ekvador tutuklu buluna ol p mahkeme verdik karar sonuç serbest bırakıl p bugu ilk suçsuz olduk kanıtla ifade kulla;assangeın bilgisayar programcı tahli bugu ilk suçsuz olduk kanıtla;https://tr.sputniknews.com//politika/201906211039424598-assangein-bilgisayar-programcisina-tahliye-bugun-ilk-kez-sucsuz-oldugumuz-kanitlandi/
ortadogu;kreml sözcüs dmitriy peskov rusya abdn i̇ra yönelik ye yaptırım önce olduk hukuk aykır bulduk söyledi dışiş baka yardımcıs ryabkov rusya partner yaptırım karşı koyacak alt çiz;peskov abdn i̇ra uygulayacak yaptırım hukuk aykır;https://tr.sputniknews.com//rusya/201906241039454257-peskov-abdnin-irana-uygulayacagi-yaptirimlar-hukuka-aykiri/
afrika;etiyopya başbaka abiy ahmedi amhara yerel hüküme darbe girişim kontrol alt alındık öl yaralı olduk açıkladı;etiyopya yerel hüküme darbe giriş kontrol alt al öl yaralı var;https://tr.sputniknews.com//afrika/201906231039434580-etiyopyada-yerel-hukumete-darbe-girisimi-kontrol-altina-alindi-olu-ve-yaralilar-var/
